location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population
Canada,1/26/2020,1,1,,,,,,,,,,,,,,,,38067913
Canada,1/27/2020,1,0,,,,,,,,,,,,,,,,38067913
Canada,1/28/2020,2,1,,,,,,,,,,,,,,,,38067913
Canada,1/29/2020,2,0,,,,,,,,,,,,,,,,38067913
Canada,1/30/2020,2,0,,,,,,,,,,,,,,,,38067913
Canada,1/31/2020,4,2,,,,,,,,0,,,,,,,,38067913
Canada,2/1/2020,4,0,,,,,,,,,,,,,,,,38067913
Canada,2/2/2020,4,0,,,,,,,,,,,,,,,,38067913
Canada,2/3/2020,4,0,,,,,,,,,,,,,,,,38067913
Canada,2/4/2020,4,0,,,,,,,,,,,,,,,,38067913
Canada,2/5/2020,5,1,,,,,,,,,,,,,,,,38067913
Canada,2/6/2020,5,0,,,,,,,,,,,,,,,,38067913
Canada,2/7/2020,7,2,,,,,,,,,0.0536,18.6,,,,,,38067913
Canada,2/8/2020,7,0,,,,,,,,63,0.0536,18.6,,,,,,38067913
Canada,2/9/2020,7,0,,,,,,,,,0.0536,18.6,,,,,,38067913
Canada,2/10/2020,7,0,,,,,,,,,0.0613,16.3,,,,,,38067913
Canada,2/11/2020,7,0,,,,,,,,,0.0613,16.3,,,,,,38067913
Canada,2/12/2020,7,0,,,,,,,,,0.0409,24.5,,,,,,38067913
Canada,2/13/2020,7,0,,,,,,,,,0.0477,21,,,,,,38067913
Canada,2/14/2020,7,0,,,,,,,,,0,,,,,,,38067913
Canada,2/15/2020,7,0,,,,,,,,,0,,,,,,,38067913
Canada,2/16/2020,7,0,,,,,,,,109,0,,,,,,,38067913
Canada,2/17/2020,8,1,,,,,,,,,0.0204,49,,,,,,38067913
Canada,2/18/2020,8,0,,,,,,,,,0.0204,49,,,,,,38067913
Canada,2/19/2020,8,0,,,,,,,,,0.0179,55.9,,,,,,38067913
Canada,2/20/2020,8,0,,,,,,,,,0.0159,62.9,,,,,,38067913
Canada,2/21/2020,9,1,,,,,,,,166,0.0286,35,,,,,,38067913
Canada,2/22/2020,9,0,,,,,,,,,0.026,38.5,,,,,,38067913
Canada,2/23/2020,9,0,,,,,,,,,0.022,45.5,,,,,,38067913
Canada,2/24/2020,10,1,,,,,,,,212,0.022,45.5,,,,,,38067913
Canada,2/25/2020,12,2,,,,,,,18,230,0.0408,24.5,,,,,,38067913
Canada,2/26/2020,12,0,,,,,,,62,292,0.0272,36.8,,,,,,38067913
